layer,type,I0_1,I0_2,I0_3,I1_1,I1_2,I1_3,O_1,O_2,O_3,K_1,K_2,S_1,S_2,p_1,p_2,Misc
input_1,InputLayer,224,224,3,,,,224,224,3,,,,,,,
conv1_pad,ZeroPadding2D,224,224,3,,,,230,230,3,,,,,,,
conv1_conv,Conv2D,230,230,3,,,,112,112,64,7,7,2,2,0,0,
conv1_bn,BatchNormalization,112,112,64,,,,112,112,64,,,,,,,
conv1_relu,Activation,112,112,64,,,,112,112,64,,,,,,,
pool1_pad,ZeroPadding2D,112,112,64,,,,114,114,64,,,,,,,
pool1_pool,MaxPooling2D,114,114,64,,,,56,56,64,3,3,2,2,0,0,
conv2_block1_1_conv,Conv2D,56,56,64,,,,56,56,64,1,1,1,1,0,0,
conv2_block1_1_bn,BatchNormalization,56,56,64,,,,56,56,64,,,,,,,
conv2_block1_1_relu,Activation,56,56,64,,,,56,56,64,,,,,,,
conv2_block1_2_conv,Conv2D,56,56,64,,,,56,56,64,3,3,1,1,1,1,
conv2_block1_2_bn,BatchNormalization,56,56,64,,,,56,56,64,,,,,,,
conv2_block1_2_relu,Activation,56,56,64,,,,56,56,64,,,,,,,
conv2_block1_0_conv,Conv2D,56,56,64,,,,56,56,256,1,1,1,1,0,0,
conv2_block1_3_conv,Conv2D,56,56,64,,,,56,56,256,1,1,1,1,0,0,
conv2_block1_0_bn,BatchNormalization,56,56,256,,,,56,56,256,,,,,,,
conv2_block1_3_bn,BatchNormalization,56,56,256,,,,56,56,256,,,,,,,
conv2_block1_add,Add,56,56,256,56,56,256,56,56,256,,,,,,,
conv2_block1_out,Activation,56,56,256,,,,56,56,256,,,,,,,
conv2_block2_1_conv,Conv2D,56,56,256,,,,56,56,64,1,1,1,1,0,0,
conv2_block2_1_bn,BatchNormalization,56,56,64,,,,56,56,64,,,,,,,
conv2_block2_1_relu,Activation,56,56,64,,,,56,56,64,,,,,,,
conv2_block2_2_conv,Conv2D,56,56,64,,,,56,56,64,3,3,1,1,1,1,
conv2_block2_2_bn,BatchNormalization,56,56,64,,,,56,56,64,,,,,,,
conv2_block2_2_relu,Activation,56,56,64,,,,56,56,64,,,,,,,
conv2_block2_3_conv,Conv2D,56,56,64,,,,56,56,256,1,1,1,1,0,0,
conv2_block2_3_bn,BatchNormalization,56,56,256,,,,56,56,256,,,,,,,
conv2_block2_add,Add,56,56,256,56,56,256,56,56,256,,,,,,,
conv2_block2_out,Activation,56,56,256,,,,56,56,256,,,,,,,
conv2_block3_1_conv,Conv2D,56,56,256,,,,56,56,64,1,1,1,1,0,0,
conv2_block3_1_bn,BatchNormalization,56,56,64,,,,56,56,64,,,,,,,
