layer,type,I0_0,I0_1,I1_0,I1_1,O_0,O_1,size,,,ops,,,Misc
,,,,,,,,input,output,weight,gemm,vect,acti,
user_id,InputLayer,1,,,,1,,1,1,,,,,
item_id,InputLayer,1,,,,1,,1,1,,,,,
embedding_user,Embedding,1,,,,1,40,1,40,241600,,,,
embedding_item,Embedding,1,,,,1,40,1,40,148240,,,,
embedding_user_mlp,Lambda,1,40,,,32,,40,32,,,,,
embedding_item_mlp,Lambda,1,40,,,32,,40,32,,,,,
concatenate_3,Concatenate,32,,32,,64,,64,64,,,,,
dense_7,Dense,64,,,,32,,64,32,2080,2048,,,
embedding_user_mf,Lambda,1,40,,,8,,40,8,,,,,
embedding_item_mf,Lambda,1,40,,,8,,40,8,,,,,
dense_8,Dense,32,,,,16,,32,16,528,512,,,
multiply_1,Multiply,8,,8,,8,,16,8,,,,,
dense_9,Dense,16,,,,8,,16,8,136,128,,,
concatenate_4,Concatenate,8,,8,,16,,16,16,,,,,
rating,Dense,16,,,,1,,16,1,17,16,,,
