layer,,,,I1,I2,I3,O1,O2,O3,k1,k2,s1,s2,p1,p2,#Para,gemm,vect,acti
Conv2d: 1-1,,,, 3, 224, 224, 64, 112, 112, 7, 7, 2, 2, 3, 3, 9408, 118013952, , ,
BatchNorm2d: 1-2,,,, 64, 112, 112, 64, 112, 112, , , , , , , 128, , 1605632, ,
ReLU: 1-3,,,, 64, 112, 112, 64, 112, 112, , , , , , , , , , 802816,
MaxPool2d: 1-4,,,, 64, 112, 112, 64, 56, 56, 3, 3, 2, , 1, , , , 1605632, ,
Sequential: 1-5,,,, 64, 56, 56, 64, 56, 56, , , , , , , 147968, , , ,
,BasicBlock: 2-1,,, 64, 56, 56, 64, 56, 56, , , 1, , , , 73984, , , ,
,,Conv2d: 3-1,, 64, 56, 56, 64, 56, 56, 3, 3, 1, 1, 1, 1, 36864, 115605504, , ,
,,BatchNorm2d: 3-2,, 64, 56, 56, 64, 56, 56, , , , , , , 128, , 401408, ,
,,ReLU: 3-3,, 64, 56, 56, 64, 56, 56, , , , , , , , , , 200704,
,,Conv2d: 3-4,, 64, 56, 56, 64, 56, 56, 3, 3, 1, 1, 1, 1, 36864, 115605504, , ,
,,BatchNorm2d: 3-5,, 64, 56, 56, 64, 56, 56, , , , , , , 128, , 401408, ,
,,ReLU: 3-6,, 64, 56, 56, 64, 56, 56, , , , , , , , , , 200704,
,BasicBlock: 2-2,,, 64, 56, 56, 64, 56, 56, , , 1, , , , 73984, , , ,
,,Conv2d: 3-7,, 64, 56, 56, 64, 56, 56, 3, 3, 1, 1, 1, 1, 36864, 115605504, , ,
,,BatchNorm2d: 3-8,, 64, 56, 56, 64, 56, 56, , , , , , , 128, , 401408, ,
,,ReLU: 3-9,, 64, 56, 56, 64, 56, 56, , , , , , , , , , 200704,
,,Conv2d: 3-10,, 64, 56, 56, 64, 56, 56, 3, 3, 1, 1, 1, 1, 36864, 115605504, , ,
,,BatchNorm2d: 3-11,, 64, 56, 56, 64, 56, 56, , , , , , , 128, , 401408, ,
,,ReLU: 3-12,, 64, 56, 56, 64, 56, 56, , , , , , , , , , 200704,
Sequential: 1-6,,,, 64, 56, 56, 128, 28, 28, , , , , , , 525568, , , ,
,BasicBlock: 2-3,,, 64, 56, 56, 128, 28, 28, , , 2, , , , 230144, , , ,
,,Conv2d: 3-13,, 64, 56, 56, 128, 28, 28, 3, 3, 2, 2, 1, 1, 73728, 57802752, , ,
,,BatchNorm2d: 3-14,, 128, 28, 28, 128, 28, 28, , , , , , , 256, , 200704, ,
,,ReLU: 3-15,, 128, 28, 28, 128, 28, 28, , , , , , , , , , 100352,
,,Conv2d: 3-16,, 128, 28, 28, 128, 28, 28, 3, 3, 1, 1, 1, 1, 147456, 115605504, , ,
,,BatchNorm2d: 3-17,, 128, 28, 28, 128, 28, 28, , , , , , , 256, , 200704, ,
,,Sequential: 3-18,, 64, 56, 56, 128, 28, 28, , , , , , , 8448, , , ,
,,,Conv2d: 4-1, 64, 56, 56, 128, 28, 28, 1, 1, 2, 2, 0, 0, 8192, 6422528, , ,
,,,BatchNorm2d: 4-2, 128, 28, 28, 128, 28, 28, , , , , , , 256, , 200704, ,
,,ReLU: 3-19,, 128, 28, 28, 128, 28, 28, , , , , , , , , , 100352,
